# Mass balance measurements for RA200 (location 200km from the ice margin) from volume 1 (p155 onwards)
# date: date of ascent [YYYY-MM-DD]
# distance to margin: distance to margin [km]
# stake height: height of the mass balance stake [m]
# change: change of height from the privous measurement [m]
# change since beginning: change since the first measurement [m]
# comment: additional info
date;distance to margin;stake height;change;change since beginning;comment
1930-08-23;200;1.7;0.0;0.0;
1930-06-09;200;1.62;0.08;0.08;
1930-10-13;200;1.23;0.39;0.47;
1931-02-05;200;0.75;0.48;0.95;
1931-04-05;200;0.69;0.06;1.01;
1931-07-06;200;0.71;-0.02;0.99;
1931-07-23;200;0.71;0.0;0.99;
1931-01-08;200;0.7;0.01;1.0;
1931-08-25;200;0.5;0.2;1.2;
1931-01-09;200;0.38;0.12;1.32;
