# Mass balance measurements for ST50 (location at 50 m a.s.l. at the Kamarujuk glacier) from volume 1 (p159 onwards)
# date: date of ascent [YYYY-MM-DD]
# digit_stake length: length of the mass balance stake submerged in the glacier [m]
# z: altitude above sea level [m]
# diff: change of length from the privous measurement [m]
# cum_deltaz: change of length since the first measurement [m]
# comment: additional info
date;digit_stake length;z;diff;cum_deltaz;comment
1929-08-08;4.77;50;0.0;0.0;
1929-08-13;4.57;50;-0.29;-0.2;
1929-08-09;3.4;50;-1.17;-1.37;
1930-07-06;3.02;50;-0.38;-1.75;
1930-11-06;3.0;50;-0.02;-1.77;
1930-12-06;2.99;50;-0.01;-1.78;
1930-06-14;2.88;50;-0.11;-1.89;
1930-06-22;2.64;50;-0.24;-2.13;
1930-06-23;2.64;50;0.0;-2.13;unsure
1930-06-24;2.51;50;-0.13;-2.26;
1930-06-26;2.47;50;-0.04;-2.3;
1930-01-07;2.24;50;-0.23;-2.53;
1930-05-07;2.07;50;-0.17;-2.7;
1930-09-07;1.87;50;-0.2;-2.9;
1930-07-13;1.7;50;-0.17;-3.07;unsure
1930-07-14;1.44;50;-0.02;-3.09;unsure
1930-07-14;4.0;50;-3.09;;new
1930-07-18;1.42;50;-3.09;;old
1930-07-18;3.76;50;-0.24;-3.33;new
1930-07-24;3.27;50;-0.49;-3.82;
1930-07-30;2.88;50;-0.39;-4.21;
1930-04-08;2.55;50;-0.33;-4.54;
1930-07-08;2.38;50;-0.17;-4.71;
1930-08-14;2.03;50;-0.35;-5.06;
1930-08-19;1.99;50;-0.04;-5.1;
1930-08-25;1.9;50;-0.09;-5.19;
1930-08-28;1.68;50;-0.22;-5.41;
1930-06-09;1.41;50;-0.27;-5.68;
1930-08-09;1.34;50;-0.07;-5.75;
1930-12-09;1.24;50;-0.1;-5.85;
1931-01-07;0.02;50;-1.22;-7.07;
1931-07-27;1.66;50;-1.62;-8.69;new
1931-02-08;1.33;50;-0.33;-9.02;
1931-08-08;1.09;50;-0.24;-9.26;
1931-08-17;0.36;50;-0.73;-9.99;
1931-08-24;0.66;50;-0.35;-10.34;new
1931-08-31;0.46;50;-0.2;-10.54;
1931-02-09;0.36;50;-0.1;-10.64;
1931-11-09;0.18;50;-0.18;-10.82;
1931-12-09;0.18;50;0.0;-10.82;
1931-09-15;0.4;50;-0.02;-10.84;new
1931-09-25;0.29;50;-0.11;-10.95;new
1931-03-10;0.26;50;-0.03;-10.98;
