# Daily mean air temperature at Weststation (WS) from Volume 4.1 (p453 onwards) and Kamarujuk Fjord station (FS) from Vlume 4.2. (p259 onwards)
# date: date [D.M.YYYY]
# AT_WS: daily mean air temperature Weststation [°C]
# AT_FS: daily mean air temperature Kamarujuk Fjord station [°C]
date;AT_Weststation;AT_Qameruj
07.07.1930;;
08.07.1930;;7,9
09.07.1930;;9,9
10.07.1930;;10
11.07.1930;;12
12.07.1930;;13,5
13.07.1930;;14,7
14.07.1930;;14,5
15.07.1930;;15,4
16.07.1930;;11,7
17.07.1930;;10,9
18.07.1930;;12,3
19.07.1930;;13
20.07.1930;;7,9
21.07.1930;;10,4
22.07.1930;;19,7
23.07.1930;;14,8
24.07.1930;;13
25.07.1930;;16,7
26.07.1930;;10,2
27.07.1930;;8,6
28.07.1930;;10,5
29.07.1930;;13,2
30.07.1930;;14,4
31.07.1930;;14,6
01.08.1930;;14,3
02.08.1930;;13,1
03.08.1930;;13,6
04.08.1930;;12,2
05.08.1930;;12,6
06.08.1930;;8,9
07.08.1930;1,1;7,7
08.08.1930;0,1;8,7
09.08.1930;0,5;9,1
10.08.1930;0,8;10,3
11.08.1930;0,6;12,2
12.08.1930;2,9;
13.08.1930;2;
14.08.1930;0,4;5,8
15.08.1930;-1,5;6
16.08.1930;-2,2;7,4
17.08.1930;-3;8
18.08.1930;-1,9;7,4
19.08.1930;-1,5;6
20.08.1930;-1,1;
21.08.1930;-1,4;5,3
22.08.1930;-2,2;5,2
23.08.1930;-0,9;6,5
24.08.1930;-0,6;
25.08.1930;-0,1;
26.08.1930;-2;
27.08.1930;-0,9;
28.08.1930;-2,5;
29.08.1930;-0,4;
30.08.1930;0,5;
31.08.1930;1;
01.09.1930;1,4;
02.09.1930;-0,9;
03.09.1930;1,3;
04.09.1930;3;
05.09.1930;3,6;
06.09.1930;2,9;
07.09.1930;3,5;14,2
08.09.1930;2,1;13,4
09.09.1930;1,1;10,1
10.09.1930;-0,1;11,2
11.09.1930;-3,4;8,3
12.09.1930;-5,3;5,5
13.09.1930;-6,5;2,4
14.09.1930;-8,5;2,7
15.09.1930;-6,8;1,3
16.09.1930;-2,1;3,9
17.09.1930;-1,5;8,6
18.09.1930;-1,8;4,9
19.09.1930;-5;4,1
20.09.1930;-6,4;4,2
21.09.1930;-4,9;4,5
22.09.1930;-2;6,5
23.09.1930;-2;4,7
24.09.1930;-2,5;6,2
25.09.1930;-2,2;5,3
26.09.1930;-6,1;0,8
27.09.1930;-14,4;-2,8
28.09.1930;;-4,7
29.09.1930;;-2,5
30.09.1930;-10,9;-1,9
01.10.1930;-10,9;-4
02.10.1930;-3,8;-2,8
03.10.1930;-3,3;-1,1
04.10.1930;-9,7;1,1
05.10.1930;;-0,1
06.10.1930;;2,4
07.10.1930;-3,9;3,5
08.10.1930;-8,5;-0,5
09.10.1930;-13,5;-4,1
10.10.1930;;-3,1
11.10.1930;-8,9;1,7
12.10.1930;-6,2;1
13.10.1930;;-2,6
14.10.1930;-11,3;-3,4
15.10.1930;-18,7;-7,4
16.10.1930;;-7,6
17.10.1930;-17,7;-6,9
18.10.1930;-18,8;-7,8
19.10.1930;-15,7;-6,3
20.10.1930;-5,4;-2,6
21.10.1930;-6,6;-0,9
22.10.1930;-8,9;0,2
23.10.1930;-15,6;-4,8
24.10.1930;-13,5;-2,8
25.10.1930;-13,4;-3,6
26.10.1930;-17,7;-7,4
27.10.1930;-23,5;-11,7
28.10.1930;-24;-12,6
29.10.1930;-26,3;-15,5
30.10.1930;-24,4;-11,8
31.10.1930;-17,3;-6,2
01.11.1930;-18,3;-8,9
02.11.1930;-20;-9,6
03.11.1930;-15,8;-3,5
04.11.1930;-14,1;-3,3
05.11.1930;-20,7;-9,9
06.11.1930;-23,8;-13
07.11.1930;-24,2;-16
08.11.1930;-22,2;-11,5
09.11.1930;-16,2;-7,1
10.11.1930;-20,7;-10,6
11.11.1930;-26,3;-16,1
12.11.1930;;-13,4
13.11.1930;;-14,8
14.11.1930;-22,1;-9,1
15.11.1930;-20,4;-9,5
16.11.1930;-16,2;-4,5
17.11.1930;-8,9;-1,4
18.11.1930;-14,1;-3,5
19.11.1930;;2,3
20.11.1930;-9,3;-0,3
21.11.1930;-10,8;-1,7
22.11.1930;-13,9;-3,5
23.11.1930;-22,3;-10,9
24.11.1930;-24,2;-13,3
25.11.1930;;-14,6
26.11.1930;;-5,5
27.11.1930;-6,5;2,6
28.11.1930;-7,7;2,3
29.11.1930;-9;-1,6
30.11.1930;-16,8;8,1
01.12.1930;;-14,1
02.12.1930;;-13,1
03.12.1930;;-13
04.12.1930;-21,4;-11,7
05.12.1930;-25;-15,2
06.12.1930;-28,4;-19,3
07.12.1930;-29,6;
08.12.1930;-26,9;
09.12.1930;-19,6;
10.12.1930;-13,1;
11.12.1930;-14,4;
12.12.1930;-18,9;
13.12.1930;-20,9;
14.12.1930;-24,5;
15.12.1930;-19,3;-12,2
16.12.1930;-16,9;-11,4
17.12.1930;-13,9;-10,3
18.12.1930;-17,7;-10,4
19.12.1930;-19,9;-10,8
20.12.1930;-22,1;-11,2
21.12.1930;-22,2;-11,9
22.12.1930;-23,6;-14,5
23.12.1930;-19,3;-8,9
24.12.1930;-15,7;-4,3
25.12.1930;-13,3;-1,6
26.12.1930;-12,8;-1,1
27.12.1930;;-2,6
28.12.1930;-12;-6,4
29.12.1930;-16,4;-7,4
30.12.1930;-19,2;-6,6
31.12.1930;-16,6;-5,6
01.01.1931;-15,2;-3,3
02.01.1931;-15,5;-5,3
03.01.1931;-12,8;-0,9
04.01.1931;-8,2;3
05.01.1931;-12,7;-2,1
06.01.1931;-13,6;-4,9
07.01.1931;-14,8;-5,5
08.01.1931;-15,8;-4,6
09.01.1931;-15,6;-4,3
10.01.1931;-16,2;-7,3
11.01.1931;-13,1;-5,1
12.01.1931;-13,5;-5,7
13.01.1931;-11,4;-7,2
14.01.1931;-17,6;-10,2
15.01.1931;-24;-14,9
16.01.1931;-23,6;-13,7
17.01.1931;-23,3;-9,7
18.01.1931;-14;
19.01.1931;-15,7;-7,1
20.01.1931;-16,9;-7,3
21.01.1931;-18;-7,4
22.01.1931;-19,6;-7,8
23.01.1931;-22;-11,5
24.01.1931;-22,9;-15,5
25.01.1931;-23,2;-13,9
26.01.1931;-15,5;-3,4
27.01.1931;-9,3;0
28.01.1931;-12,4;-3,1
29.01.1931;-9,9;-0,9
30.01.1931;;-9,3
31.01.1931;-22;-9,8
01.02.1931;-13,6;-4,7
02.02.1931;-10,5;-0,3
03.02.1931;-15,7;-8,2
04.02.1931;-20,2;-11,5
05.02.1931;-19,7;-8,8
06.02.1931;-23,7;-13
07.02.1931;-28,5;-17,8
08.02.1931;-28,6;-16,1
09.02.1931;-25,8;-12
10.02.1931;-23,1;-11,7
11.02.1931;-27,8;-17,7
12.02.1931;-29,9;-19
13.02.1931;-27,8;-16,5
14.02.1931;-28,8;-16
15.02.1931;-22,2;-11,8
16.02.1931;-23,1;-13,6
17.02.1931;-18;-16,1
18.02.1931;-29,2;-21,1
19.02.1931;-30,1;-18,5
20.02.1931;;-13,2
21.02.1931;;-15,6
22.02.1931;-30,9;-22,3
23.02.1931;-36,2;-27,4
24.02.1931;-34,1;-24,6
25.02.1931;-28,7;-18,3
26.02.1931;-21,9;-10,3
27.02.1931;-14,8;-6,9
28.02.1931;-15,7;-7,5
01.03.1931;-18;-10,8
02.03.1931;-28,1;-21,8
03.03.1931;-33,3;-25,3
04.03.1931;-31,7;-25,4
05.03.1931;-27,9;
06.03.1931;-18,6;
07.03.1931;-14,8;-20,1
08.03.1931;-15,5;-20,8
09.03.1931;-9,6;-16,4
10.03.1931;-11,6;-15,4
11.03.1931;-18,5;-16
12.03.1931;-23,8;-24
13.03.1931;-22,5;
14.03.1931;-22,1;
15.03.1931;-22,8;
16.03.1931;-17;
17.03.1931;-19;-16
18.03.1931;-22,9;-13,2
19.03.1931;-23,8;-19,1
20.03.1931;-29,2;-23
21.03.1931;-29,6;-22,5
22.03.1931;-29,2;-16,9
23.03.1931;-26,1;-16
24.03.1931;-28;-20
25.03.1931;;-20,1
26.03.1931;-13,6;-5,3
27.03.1931;-10,8;-5,1
28.03.1931;-21,9;-15,1
29.03.1931;-26,7;-21,9
30.03.1931;-25,8;-21,5
31.03.1931;;
01.04.1931;;-15,8
02.04.1931;-28,4;-16,2
03.04.1931;-19,4;-6,1
04.04.1931;-13,9;-12
05.04.1931;-17,6;-16,4
06.04.1931;-20,2;
07.04.1931;-22,8;
08.04.1931;-28,4;
09.04.1931;-30,9;
10.04.1931;-32;-26
11.04.1931;-26,6;-16
12.04.1931;-20,7;-16,2
13.04.1931;-12,7;-14,6
14.04.1931;-21;-14,1
15.04.1931;-23,8;-16,8
16.04.1931;-15,2;-14,3
17.04.1931;-8,1;
18.04.1931;-4,9;
19.04.1931;-4,5;5,3
20.04.1931;-2,9;3,6
21.04.1931;-4,7;4,7
22.04.1931;-10;-2,2
23.04.1931;-11,9;-2,9
24.04.1931;-13,8;-5,4
25.04.1931;-14,8;-8,4
26.04.1931;-15;-7,7
27.04.1931;-14,2;-1,5
28.04.1931;-11;0,1
29.04.1931;-4;5,6
30.04.1931;-2;2,9
01.05.1931;-0,5;2
02.05.1931;-2,1;
03.05.1931;-0,9;5,1
04.05.1931;-3,4;3,8
05.05.1931;-3,3;-1,6
06.05.1931;0;7,4
07.05.1931;-1,7;1,3
08.05.1931;-2,6;-0,6
09.05.1931;-2,7;2,7
10.05.1931;-3,1;0,7
11.05.1931;-4,4;-1,6
12.05.1931;-7,9;-3,1
13.05.1931;-12,4;-7,1
14.05.1931;-11,8;-1,1
15.05.1931;-7,7;2,9
16.05.1931;-6,4;2,4
17.05.1931;-7,5;-0,2
18.05.1931;-9,2;-0,9
19.05.1931;-9,4;-1,8
20.05.1931;-11,7;-5,5
21.05.1931;-5,8;-2,8
22.05.1931;-2,1;-2
23.05.1931;-2,4;-0,4
24.05.1931;-1,6;0,9
25.05.1931;-3,4;1
26.05.1931;-3,3;-1,1
27.05.1931;-1,9;7,4
28.05.1931;-1,3;6,2
29.05.1931;-0,9;5,7
30.05.1931;0;10,8
31.05.1931;0,8;7,4
01.06.1931;0,4;11,6
02.06.1931;0,8;11,4
03.06.1931;1,4;11,9
04.06.1931;-0,5;11,5
05.06.1931;-0,2;10
06.06.1931;0,4;
07.06.1931;0,3;9,7
08.06.1931;-0,1;9,4
09.06.1931;0,6;12,5
10.06.1931;0,6;14,1
11.06.1931;1,5;14,5
12.06.1931;0,7;12,1
13.06.1931;0,5;7,5
14.06.1931;0,4;10,4
15.06.1931;0,4;11,4
16.06.1931;2,1;13,2
17.06.1931;1,1;13
18.06.1931;1,3;4,9
19.06.1931;1;11,8
20.06.1931;0,6;6,8
21.06.1931;-0,1;3,9
22.06.1931;-0,5;3,9
23.06.1931;-1,1;2,6
24.06.1931;-0,2;4,3
25.06.1931;-0,1;6,1
26.06.1931;-0,3;5,5
27.06.1931;0,2;7,8
28.06.1931;2,3;13,7
29.06.1931;1,5;14
30.06.1931;2,2;13,1
01.07.1931;2;13,6
02.07.1931;2,2;14,3
03.07.1931;2,2;11,9
04.07.1931;2,6;13,9
05.07.1931;3,4;15,2
06.07.1931;3,5;15
07.07.1931;3,5;13,6
08.07.1931;3,3;13
09.07.1931;1,9;8,5
10.07.1931;2,8;12,9
11.07.1931;2,3;8,9
12.07.1931;1,9;9,1
13.07.1931;1,4;11,7
14.07.1931;3;13
15.07.1931;4,7;11,4
16.07.1931;2;7,7
17.07.1931;1,9;7,4
18.07.1931;1,4;10,3
19.07.1931;2,5;11,4
20.07.1931;2,3;12,7
21.07.1931;2,5;14,4
22.07.1931;2,4;13,9
23.07.1931;2,3;13,3
24.07.1931;1,6;12
25.07.1931;2,3;12,2
26.07.1931;2,5;14,3
27.07.1931;3;14,4
28.07.1931;2,9;14,1
29.07.1931;2,7;11,9
30.07.1931;2,8;14,2
31.07.1931;3,4;14,4
01.08.1931;1,8;9,4
02.08.1931;2;9,1
03.08.1931;1;6,4
04.08.1931;1,5;11,7
05.08.1931;2,7;14,3
06.08.1931;3,5;13,2
07.08.1931;2,9;12,4
08.08.1931;3,3;12,3
09.08.1931;2,5;9,1
10.08.1931;1,6;
11.08.1931;0,8;8
12.08.1931;2,6;11,9
13.08.1931;3,6;13,7
14.08.1931;4,2;13,5
15.08.1931;2,5;9,8
16.08.1931;2,7;11,6
17.08.1931;4;16,2
18.08.1931;3,3;16,4
19.08.1931;3;15,3
20.08.1931;3,4;12,1
21.08.1931;1;9,3
22.08.1931;1;10,1
23.08.1931;2,1;11,3
24.08.1931;0,3;8,9
25.08.1931;-1,2;5
26.08.1931;-0,8;5,4
27.08.1931;-1,6;9,3
28.08.1931;-1,5;7,3
29.08.1931;-0,5;7,5
30.08.1931;1,2;10,3
31.08.1931;4,6;11,3
01.09.1931;2,8;13,6
02.09.1931;2,6;15,6
03.09.1931;1,5;10,7
04.09.1931;0,8;10,8
05.09.1931;0,9;9,8
06.09.1931;1,1;11,5
07.09.1931;0,8;9,9
08.09.1931;0,4;7,5
09.09.1931;-0,1;9,5
10.09.1931;-0,9;9,6
11.09.1931;1,4;7,3
12.09.1931;2,5;9,6
13.09.1931;-4,9;4,6
14.09.1931;-5,1;2,5
15.09.1931;-3,7;7,2
16.09.1931;-0,9;5,1
17.09.1931;-2,9;3,9
18.09.1931;;2,1
19.09.1931;;4,4
20.09.1931;;6,7
21.09.1931;;5,4
22.09.1931;;4,2
