# Daily mean air temperature (AT) at Weststation (WS) from Volume 4.1 (p453 onwards) and Qamerujuk Fjord station (FS) from Volume 4.2. (p259 onwards) and Uummannaq station (UMQ) from Volume 4.1. (p388 onwards)
# date: date [D.M.YYYY]
# AT_WS: daily mean air temperature Weststation [deg C] 
# AT_FS: daily mean air temperature Qamerujuk Fjord station [deg C]
# AT_UMQ: daily mean air temperature Uummannaq station [deg C]
# daily mean values for FS and UMQ were caluclated based on the subdaily digitalized AT (at 0800, 1400 and 2100 MEZ) accordingly to (2*AT_8+2*AT_14+5*AT_21)/9 (Volume 4.1. p 388), daily mean for WS is the digitalized daily values calculated by Wegener's expedition 
date;AT_WS;AT_FS;AT_UMQ
20.06.1930;;;4,6
21.06.1930;;;2,5
22.06.1930;;;5
23.06.1930;;;8,6
24.06.1930;;;2,9
25.06.1930;;;2,8
26.06.1930;;;4,6
27.06.1930;;;6,1
28.06.1930;;;6,5
29.06.1930;;;9,2
30.06.1930;;;9,5
01.07.1930;;;3,9
02.07.1930;;;4,6
03.07.1930;;;3,2
04.07.1930;;;3,2
05.07.1930;;;3,7
06.07.1930;;;4,5
07.07.1930;;;5
08.07.1930;;7,9;6,5
09.07.1930;;9,9;5,2
10.07.1930;;10;6,4
11.07.1930;;12;8,6
12.07.1930;;13,5;8,7
13.07.1930;;14,7;8,6
14.07.1930;;14,3;11,4
15.07.1930;;15,4;10,5
16.07.1930;;11,7;8,1
17.07.1930;;10,9;4,8
18.07.1930;;12,3;8
19.07.1930;;13;9,5
20.07.1930;;7,9;7,4
21.07.1930;;10,4;7
22.07.1930;;19,7;13,4
23.07.1930;;14,8;11,7
24.07.1930;;13;9,5
25.07.1930;;16,7;10,8
26.07.1930;;10,2;8,1
27.07.1930;;8,6;7,4
28.07.1930;;10,5;7,6
29.07.1930;;13,2;9,4
30.07.1930;;14,4;10,6
31.07.1930;;14,6;11,4
01.08.1930;;14,3;10,1
02.08.1930;;13,1;10,4
03.08.1930;;13,6;10,4
04.08.1930;;12,2;10,7
05.08.1930;;12,6;11,2
06.08.1930;;8,9;8,4
