# Pilot Balloon soundings from volume 4.1 (p367 onwards) for station Eismitte
# included are soundings Nr 1-6 and 8. 7 was omitted due to too little data.
# NAs are indicated as empty fields.
# date: date of ascent [YYYY-MM-DD]
# time: startdate of ascent [HH:MM]
# minute: time from start [minutes]
# p: pressure [mmHg]
# T: temperature [°C]
# RH: relative humidity [%]
# H: height [m]
Nr;date;time;minute;p;T;RH;H
1;1930-08-15;17:58;0.0;521.0;-18.5;82.0;0.0
1;1930-08-15;17:58;1.0;514.0;-14.1;;102.0
1;1930-08-15;17:58;12.0;494.0;-10.6;;405.0
2;1930-08-30;17:22;0.0;522.0;-15.2;91.0;0.0
2;1930-08-30;17:22;4.1;504.0;-12.8;;266.0
2;1930-08-30;17:22;7.0;495.0;-12.8;;401.0
2;1930-08-30;17:22;11.0;480.0;-13.6;;635.0
2;1930-08-30;17:22;21.0;501.0;-12.6;;294.0
2;1930-08-30;17:22;24.0;522.0;-16.0;91.0;0.0
3;1930-08-31;11:02;0.0;522.0;-13.0;89.0;0.0
3;1930-08-31;11:02;1.0;511.0;-16.5;;161.0
3;1930-08-31;11:02;3.0;500.0;-13.0;;326.0
3;1930-08-31;11:02;6.0;479.0;-15.5;;651.0
3;1930-08-31;11:02;9.0;470.0;-13.1;;795.0
3;1930-08-31;11:02;13.0;476.0;-13.9;;699.0
3;1930-08-31;11:02;24.0;515.0;-11.8;;103.0
3;1930-08-31;11:02;26.0;522.0;-15.2;88.0;0.0
4;1930-08-31;17:55;0.0;523.0;-15.8;;0.0
4;1930-08-31;17:55;2.0;512.0;-13.0;;161.0
4;1930-08-31;17:55;9.0;471.0;-15.6;;793.0
4;1930-08-31;17:55;21.0;;-13.0;;
4;1930-08-31;17:55;23.0;;-16.7;;0.0
5;1930-02-09;10:50;0.0;525.0;;;
5;1930-02-09;10:50;2.0;513.0;;;
5;1930-02-09;10:50;8.0;;;;
5;1930-02-09;10:50;11.0;;;;
5;1930-02-09;10:50;13.0;;;;
5;1930-02-09;10:50;26.0;;;;
5;1930-02-09;10:50;27.0;;;;
6;1930-02-09;12:55;0.0;525.0;-11.5;91.0;0.0
6;1930-02-09;12:55;16.0;437.0;-19.2;;1384.0
6;1930-02-09;12:55;19.0;432.0;-15.3;;1470.0
6;1930-02-09;12:55;28.0;473.0;-14.05;;790.0
6;1930-02-09;12:55;37.0;518.0;-10.8;;102.0
6;1930-02-09;12:55;40.0;525.0;-11.2;;0.0
6;1930-02-09;12:55;50.0;;-14.1;91.0;
8;1930-09-13;15:58;0.0;517.0;-26.6;82.0;0.0
8;1930-09-13;15:58;4.7;513.0;-22.2;;56.0
8;1930-09-13;15:58;9.0;506.0;-17.8;;158.0
8;1930-09-13;15:58;11.5;505.0;-16.6;;173.0
8;1930-09-13;15:58;14.0;501.0;-17.3;;233.0
