# Firn temperature (monthly average) from volume 7 (figure p 45) and volume3 (p 199 onwards) for station Eismitte
# month: 1-Jan, 2-Feb,...
# 0m: surface 
# 1m: at 1m depth (equivalent for 2-15m)
month;0m;1m;2m;3m;4m;5m;6m;7m;8m;9m;10m;11m;12m;13m;14m;15m
1;39.5;33;31;29;28.5;27.5;27.52;27.68;27.8;27.97;;;;;;
2;39;34;31;29.5;28.75;28;27.87;27.82;27.84;27.93;28.08;;;;;
3;38.5;36;32;30;29;28.4;27.26;28.03;28;27.97;28.03;28.18;28.28;;;
4;35.8;35;31.8;30;29.25;28.7;28.66;28.3;28.17;28.09;28.1;28.16;28.26;28.54;28.39;28.47
5;31;31;30.5;30;29.5;29;28.97;28.55;28.56;28.24;28.21;28.22;28.28;28.52;28.38;28.45
6;26;28;28;28;29;28.7;29.08;28.73;28.5;28.43;28.37;28.32;28.33;28.35;28.38;28.44
7;22;25;26;27;28.5;28.4;29.01;28.79;28.66;28.53;28.48;28.45;28.39;28.39;28.4;28.47
8;;;;;;28;;;;;;;;;;
9;;;;;;;;;;;;;;;;
10;;;;;;;;;;;;;;;;
11;;;;;;27;;;;;;;;;;
12;;;;;27;;27.29;27.6;;;;;;;;
