# Snow density measurements along the transect to Eismitte Band 4.2 (p329 onwards)
# date: date of measurement [YYYY-MM-DD]
# RA: Randabstant; distance to margin [km]
# altitude: altitude [m a.s.l.]
# depth from: depth of the top of the sample [cm]
# depth to: depth of the bottom of the sample [cm]
# density: density of the sample [kg/m^3]
date;RA;altitude;depth from;depth to;density;pitno
1930-07-16;25;1398;15;25;420;1.0
1930-07-16;25;1398;50;60;450;1.0
1930-07-16;25;1398;0;40;440;1.0
1930-07-17;45;1600;7;17;490;2.0
1930-07-17;45;1600;55;65;420;2.0
1930-07-17;45;1600;0;40;480;2.0
1930-07-17;50;1655;0;40;410;3.0
1930-07-18;65;1820;15;25;440;4.0
1930-07-18;65;1820;55;65;450;4.0
1930-07-18;70;1915;0;40;430;5.0
1930-07-18;75;1932;0;40;390;6.0
1930-07-18;80;1937;0;35;400;7.0
1930-07-18;85;1980;0;36;370;8.0
1930-07-19;90;1995;5;15;360;9.0
1930-07-19;90;1995;55;65;360;9.0
1930-07-19;95;2010;0;38;370;10.0
1930-07-19;100;2058;0;40;360;11.0
1930-07-19;105;2077;0;40;330;12.0
1930-07-19;110;2092;0;36;360;13.0
1930-07-19;115;2106;0;38;340;14.0
1930-07-20;120;2125;0;26;380;15.0
1930-07-20;120;2125;13;23;370;15.0
1930-07-20;120;2125;65;75;420;15.0
1930-07-20;120;2125;30;40;470;15.0
1930-07-20;125;2140;0;40;340;16.0
1930-07-20;130;2140;0;39;340;17.0
1930-07-20;135;2160;0;28;390;18.0
1930-07-20;140;2160;0;39;290;19.0
1930-07-21;145;2155;3;13;380;20.0
1930-07-21;145;2155;55;65;470;20.0
1930-07-21;145;2155;105;117;590;20.0
1930-07-21;150;2182;0;23;350;21.0
1930-07-21;155;2210;0;37;330;22.0
1930-07-21;160;2212;0;35;340;23.0
1930-07-21;165;2240;0;25;360;24.0
1930-07-22;170;2255;0;40;360;25.0
1930-07-22;170;2255;120;137;400;25.0
1930-07-22;170;2255;55;78;560;25.0
1930-07-22;170;2255;40;50;390;25.0
1930-07-22;175;2342;0;39;340;26.0
1930-07-22;185;2402;0;40;360;27.0
1930-07-22;190;2420;0;40;360;28.0
1930-07-22;185;2440;0;31;360;29.0
1930-07-23;200;2481;0;32;340;30.0
1930-07-23;200;2481;0;30;340;30.0
1930-07-23;200;2481;3;13;310;30.0
1930-07-24;200;2481;75;88;500;30.0
1930-07-24;200;2481;120;125;450;30.0
1930-07-24;200;2481;55;65;370;30.0
1930-07-24;200;2481;180;189;540;30.0
1930-07-25;120;2125;0;35;430;31.0
1930-07-24;205;2530;0;40;340;32.0
1930-07-24;211;2562;0;40;350;33.0
1930-07-24;215;2570;0;40;330;34.0
1930-07-24;215;2570;0;40;250;34.0
1930-07-24;215;2570;0;40;370;34.0
1930-07-25;225;2600;0;40;360;35.0
1930-07-25;230;2595;0;40;330;36.0
1930-07-25;230;2595;0;40;340;36.0
1930-07-25;235;2652;0;40;370;37.0
1930-07-25;240;2658;0;40;320;38.0
1930-07-25;240;2658;0;40;360;38.0
1930-07-25;245;2678;0;40;350;39.0
1930-07-25;245;2678;0;40;320;39.0
1930-07-26;250;2689;0;38;340;40.0
1930-07-26;255;2696;0;40;300;41.0
1930-07-26;255;2696;0;40;330;41.0
1930-07-26;260;2710;0;39;340;42.0
1930-07-26;265;2732;0;40;360;43.0
1930-07-26;270;2732;0;40;350;44.0
1930-07-26;270;2732;0;39;340;44.0
1930-07-27;285;2807;0;40;320;45.0
1930-07-27;290;2802;0;40;350;46.0
1930-07-28;310;2890;0;40;350;47.0
1930-07-28;315;2902;0;36;360;48.0
1930-07-28;350;2938;0;34;340;49.0
1930-07-29;350;2938;0;32;320;49.0
1930-07-08;25;1398;0;28;540;50.0
1930-08-08;25;1398;13;23;520;50.0
1930-08-08;30;1449;0;17;480;51.0
1930-08-08;35;1499;25;35;470;52.0
1930-08-08;40;1550;0;19;510;53.0
1930-08-08;50;1550;0;30;460;54.0
1930-08-08;60;1765;2;12;430;55.0
1930-09-08;70;1915;0;28;370;56.0
1930-09-08;75;1932;0;35;490;57.0
1930-09-08;80;1937;0;35;380;58.0
1930-09-08;90;1995;0;32;380;59.0
1930-09-08;95;2010;0;12;450;60.0
1930-10-08;100;2058;35;45;390;61.0
1930-10-08;100;2058;2;21;380;61.0
1930-10-08;120;2125;4;44;340;62.0
1930-10-08;130;2140;7;43;390;63.0
1930-10-08;135;2160;155;172;430;64.0
1930-10-08;135;2160;8;18;350;64.0
1930-10-08;135;2160;45;55;370;64.0
1930-10-08;135;2160;80;90;460;64.0
1930-10-08;135;2160;105;115;350;64.0
1930-11-08;140;2160;7;45;360;65.0
1930-11-08;140;2160;28;38;350;65.0
1930-11-08;155;2210;6;45;410;66.0
1930-11-08;160;2212;7;47;400;67.0
1930-11-08;165;2240;7;17;360;68.0
1930-11-08;165;2240;40;50;380;68.0
1930-11-08;165;2240;75;85;510;68.0
1930-12-08;185;2402;0;21;370;69.0
1930-12-08;190;2420;0;39;340;70.0
1930-08-13;205;2530;0;39;360;71.0
1930-08-13;210;2560;48;82;430;72.0
1930-08-13;210;2560;2;12;430;72.0
1930-08-13;220;2587;0;35;320;73.0
1930-08-13;225;2600;5;37;370;74.0
1930-08-13;230;2595;8;48;350;75.0
1930-08-13;235;2652;90;103;410;76.0
1930-08-13;235;2652;15;25;360;76.0
1930-08-13;235;2652;55;65;370;76.0
1930-08-14;240;2658;7;46;350;77.0
1930-08-14;245;2678;7;46;350;78.0
1930-08-14;255;2696;0;30;300;79.0
1930-08-14;255;2696;23;33;330;79.0
1930-08-14;265;2732;8;41;330;80.0
1930-08-15;270;2732;100;130;340;81.0
1930-08-15;270;2732;50;60;340;82.0
1930-08-15;270;2732;70;80;440;82.0
1930-08-15;270;2732;25;35;390;82.0
1930-08-15;270;2732;3;13;290;82.0
1930-08-15;280;2789;10;45;350;83.0
1930-08-15;285;2807;35;45;360;84.0
1930-08-15;285;2807;2;12;250;84.0
1930-08-15;295;2820;0;40;300;85.0
1930-08-15;300;2838;95;112;380;
1930-08-15;300;2838;60;70;450;
1930-08-15;300;2838;35;45;400;
1930-08-15;300;2838;11;21;330;
1930-08-16;310;2890;8;45;330;
1930-08-16;320;2916;3;13;260;
1930-08-16;320;2916;35;45;360;
1930-08-16;325;2918;6;46;360;
1930-08-16;330;2912;10;50;340;
1930-08-16;335;2925;105;125;360;
1930-08-16;335;2925;60;70;410;
1930-08-16;335;2925;38;48;400;
1930-08-16;335;2925;23;33;330;
1930-08-16;335;2925;2;12;240;
1930-08-17;345;2940;10;27;320;
1930-08-17;345;2940;30;59;410;
1930-08-17;350;2938;7;28;360;
1930-08-17;360;2950;2;12;260;
1930-08-17;360;2950;55;84;420;
1930-08-17;370;2958;12;20;560;
1930-08-17;380;2972;110;130;410;
1930-08-17;380;2972;75;85;320;
1930-08-17;380;2972;50;60;390;
1930-08-17;380;2972;17;27;380;
1930-08-17;380;2972;3;13;250;
1930-08-18;385;2985;6;46;340;
1930-08-24;65;1820;2;12;470;
1930-09-29;75;1932;5;15;340;
1930-09-30;90;1995;5;15;260;
1930-01-10;110;2092;0;38;270;
1931-08-06;200;2481;27;33;300;
1931-08-06;200;2481;27;33;330;
1931-08-06;200;2481;27;33;330;
1931-08-06;200;2481;27;33;300;
1931-08-06;200;2481;27;33;320;
1931-08-06;200;2481;23;28;310;
1931-08-06;200;2481;23;28;320;
1931-12-06;150;2182;57;63;410;
1931-12-06;150;2182;3;8;270;
1931-12-06;150;2182;10;15;330;
1931-12-06;150;2182;30;40;380;
1931-12-06;150;2182;3;8;260;
1931-12-06;150;2182;3;8;270;
1931-06-14;140;2160;8;14;380;
1931-06-14;140;2160;24;30;340;
1931-06-14;140;2160;39;45;380;
1931-06-14;140;2160;45;50;360;
1931-06-14;140;2160;64;70;360;
1931-06-14;140;2160;8;14;340;
1931-06-14;140;2160;24;30;290;
1931-06-14;140;2160;39;45;380;
1931-06-14;140;2160;45;50;350;
1931-06-24;87;1986;6;12;320;
1931-06-24;87;1986;6;12;290;
1931-06-24;87;1986;6;12;300;
1931-06-24;87;1986;6;12;290;
1931-06-24;87;1986;6;12;290;
1931-06-24;87;1986;6;12;310;
1931-06-24;87;1986;6;12;300;
1931-06-25;87;1986;8;14;290;
1931-06-25;87;1986;8;14;320;
1931-06-25;87;1986;14;20;340;
1931-06-25;87;1986;14;20;340;
1931-06-25;87;1986;34;40;400;
1931-06-25;87;1986;44;50;410;
1931-06-25;87;1986;44;50;420;
1931-06-25;87;1986;64;70;390;
1931-09-07;58;1732;5;10;380;
1931-09-07;58;1732;5;10;400;
1931-09-07;58;1732;10;15;440;
1931-09-07;58;1732;5;10;330;
1931-09-07;58;1732;10;15;420;
1931-11-07;38;1529;5;10;540;
1931-11-07;38;1529;5;10;460;
1931-11-07;38;1529;5;10;500;
1931-11-07;38;1529;5;10;480;
1931-11-07;38;1529;5;10;490;
1931-11-07;38;1529;10;15;480;
1931-11-07;38;1529;54;60;430;
1931-11-07;38;1529;54;60;380;
1931-11-07;38;1529;54;60;360;
