# Snow and firn density measurement at Eismitte from volume 3 (p94 onwards)
# Nr: number of measurement
# date: date of ascent [YYYY-MM-DD]
# start depth: depth of the top measured layer below the surface at 1930-09-15 [cm]
# end depth: depth of the bottom measured layer below the surface at 1930-09-15 [cm]
# comments: additional information
# density: measured density [g/cm^3]
Nr;date;start depth;end depth;comments;density
1;1930-09-24;200.0;300.0;Tiefe nur angen�hert;0.4024
2;1930-09-24;200.0;300.0;Tiefe nur angen�hert;0.4012
3;1930-09-24;200.0;300.0;Tiefe nur angen�hert;0.4
4;1930-09-25;200.0;300.0;Tiefe nur angen�hert;0.4706
5;1930-09-25;200.0;300.0;Tiefe nur angen�hert;0.466
6;1930-09-25;200.0;300.0;Tiefe nur angen�hert;0.4643
7;1930-09-27;200.0;300.0;Tiefe nur angen�hert;0.3968
8;1930-09-27;200.0;300.0;Tiefe nur angen�hert;0.4009
9;1930-09-27;200.0;300.0;Tiefe nur angen�hert;0.4032
10;1930-09-30;165.0;180.0;;0.3387
11;1930-09-30;180.0;197.0;;0.3725
12;1930-09-30;197.0;238.0;;0.4332
13;1930-09-30;238.0;251.0;;0.4011
14;1930-09-30;251.0;265.0;;0.3326
15;1930-09-30;265.0;319.0;;0.429
16;1930-09-30;319.0;345.0;;0.3973
17;1930-01-10;345.0;380.0;;0.4494
18;1930-10-19;-30.0;-17.0;;0.3205
19;1930-10-19;-30.0;-16.0;;0.3081
20;1930-10-19;-35.0;-17.0;;0.34
21;1930-10-22;-32.0;0.0;;0.2381
22;1930-10-22;0.0;11.0;;0.3398
23;1930-10-22;11.0;32.0;;0.315
24;1930-10-22;32.0;56.0;;0.3801
25;1930-10-24;56.0;76.0;;0.297
26;1930-10-24;76.0;108.0;;0.415
27;1930-10-24;108.0;150.0;;0.3765
28;1930-10-24;108.0;137.0;;0.3778
29;1930-10-24;138.0;150.0;;0.3625
30;1930-10-25;150.0;181.0;;0.3376
31;1930-10-25;181.0;218.0;;0.3898
32;1930-10-26;150.0;166.0;;0.3186
33;1930-03-12;380.0;391.0;;0.4411
34;1930-03-12;391.0;414.0;;0.4191
35;1930-03-12;414.0;439.0;;0.4562
36;1930-03-12;439.0;460.0;;0.4211
37;1930-04-12;460.0;474.0;;0.4471
38;1930-04-12;474.0;497.0;;0.4533
39;1930-04-12;497.0;518.0;;0.4232
40;1930-04-12;518.0;557.0;;0.4738
41;1930-04-12;557.0;579.0;;0.4342
42;1930-07-12;;;;0.2636
43;1930-07-12;;;;0.2873
44;1930-10-12;;;;0.2478
45;1930-10-12;;;loser Schnee aus der Ballongrube;0.1502
46;1930-11-12;579.0;621.0;;0.4995
47;1930-12-28;76.0;98.0;;0.3744
48;1930-12-28;98.0;108.0;;0.3699
49;1931-05-01;621.0;641.0;;0.461
50;1931-05-01;641.0;670.0;;0.4937
51;1931-06-01;670.0;692.0;;0.4932
52;1931-06-01;692.0;720.0;;0.4678
53;1931-07-01;-72.0;-42.0;;0.2864
54;1931-07-01;-72.0;-64.0;;0.3065
55;1931-07-01;-64.0;-42.0;;0.2765
56;1931-07-01;-42.0;-22.0;;0.3274
57;1931-07-01;-22.0;-8.0;;0.3001
58;1931-01-15;720.0;747.0;;0.4853
59;1931-01-18;747.0;787.0;;0.4908
60;1931-01-18;787.0;813.0;;0.482
61;1931-01-18;747.0;760.0;;0.4878
62;1931-01-18;760.0;788.0;;0.4904
63;1931-01-22;813.0;825.0;;0.5218
64;1931-01-22;825.0;835.0;;0.5147
65;1931-01-22;835.0;848.0;;0.5986
66;1931-01-23;848.0;870.0;;0.4819
67;1931-02-02;848.0;857.0;;0.4819
68;1931-02-02;858.0;870.0;;0.4893
69;1931-03-02;-90.0;-70.0;;0.3426
70;1931-03-02;-70.0;-55.0;;0.2818
71;1931-03-02;-55.0;-45.0;;0.2713
72;1931-03-02;-45.0;-28.0;;0.3534
73;1931-03-02;-28.0;0.0;;0.2991
74;1931-05-02;870.0;888.0;;0.5041
75;1931-05-02;888.0;907.0;;0.5215
76;1931-05-02;907.0;930.0;;0.5098
